Id,Label,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
331,Pago Pago Intl,2,0,2,0,0,0,0
330,Babelthuap/Koror,2,0,2,0,0,0,0
329,Guam Intll,3,1,4,0,0,0,0
328,Rota Intl,1,1,2,2,0.666667,0.75,0
332,West Tinian,1,0,1,0,0,0,0
327,Saipan Intl,0,4,4,1,1,1,0
326,Johnston Atoll,1,0,1,0,0,0,0
325,Alexander Hamilton,8,0,8,0,0,0,0
324,Mercedita,5,0,5,0,0,0,0
323,Eugenio Maria De Hostos,1,0,1,0,0,0,0
322,Cyril E King,8,1,9,0,0,0,0
321,Luis Munoz Marin Intl,17,4,21,1,1,1,0
320,Rafael Hernandez,3,1,4,0,0,0,0
319,Hilo Intll,3,0,3,0,0,0,0
318,Keahole-Kona Intll,5,1,6,0,0,0,0
317,Lanai,4,0,4,0,0,0,0
316,Kahului,7,3,10,1,1,1,0
315,Kapalua,1,2,3,2,0.666667,0.75,0
314,Molokai,1,2,3,2,0.666667,0.75,0
313,Honolulu Intl,15,9,24,2,0.909091,0.95,1652.954459
312,Lihue,0,3,3,3,0.55,0.621212,0
311,Miami Intl,42,5,47,2,0.857143,0.916667,480.854801
310,Fort Lauderdale/Hollywood Intl,33,1,34,3,0.5,0.547619,7.0625
309,Mc Allen Miller Intl,2,0,2,0,0,0,0
308,Rio Grande Valley Intl,5,0,5,0,0,0,0
307,Southwest Florida Intl,27,2,29,3,0.533333,0.604167,3.5625
306,Palm Beach Intl,24,3,27,3,0.5625,0.648148,1.288585
305,Sarasota/Bradenton Intl,17,2,19,3,0.529412,0.592593,0
304,Laredo Intl,1,0,1,0,0,0,0
303,Corpus Christi Intl,3,0,3,0,0,0,0
302,St Petersburg/Clearwater Intl,2,1,3,4,0.363636,0.427083,0
301,Tampa Intl,36,6,42,2,0.6875,0.772727,40.780371
300,Melbourne Intll,6,2,8,3,0.444444,0.513889,1.9
299,Orlando Intl,47,9,56,2,0.8,0.875,231.602319
298,Daytona Beach Intl,5,2,7,3,0.482759,0.535714,0
297,San Antonio Intl,18,1,19,0,0,0,0
296,William P Hobby,23,4,27,3,0.588235,0.683333,69.157823
295,Gainesville Regional,2,0,2,0,0,0,0
294,Jefferson County,1,0,1,0,0,0,0
293,Houston Intercontinental,50,12,62,3,0.72,0.824074,519.385437
292,New Orleans Intl/Moisant Fld/,26,7,33,3,0.59375,0.675439,20.280389
291,Lake Charles Regional,1,0,1,0,0,0,0
290,Lafayette Regional,1,1,2,4,0.431818,0.469298,0
289,Panama City-Bay Co Intl,1,0,1,0,0,0,0
288,Robert Mueller Muni,14,4,18,4,0.463415,0.548246,23.235507
287,Tallahassee Regional,2,3,5,3,0.541667,0.602564,0
286,Pensacola Regional,7,3,10,3,0.5,0.552632,20.383333
285,Eglin Afb,1,0,1,0,0,0,0
284,Jacksonville Intl,15,7,22,3,0.578947,0.651515,111.439801
283,"Baton Rouge Metropolitan, Ryan",8,1,9,4,0.431818,0.469298,36.57619
282,Easterwood Field,1,0,1,0,0,0,0
281,Mobile Regional,7,3,10,4,0.456522,0.519841,28.457149
280,Killeen Muni,1,0,1,0,0,0,0
279,Mathis Field,1,0,1,0,0,0,0
278,Alexandria Esler Regional,1,0,1,0,0,0,0
277,Waco Regional,1,0,1,0,0,0,0
276,El Paso Intl,13,4,17,4,0.465116,0.545833,13.854834
275,Midland Intll,3,3,6,4,0.396226,0.464286,0.142857
274,Tucson Intl,12,1,13,4,0.431818,0.469298,0.5
273,Savannah Intll,13,4,17,3,0.46,0.528986,52.198242
272,Dannelly Field,4,1,5,5,0.3125,0.3475,1.473816
271,Jackson Intll,7,2,9,5,0.328358,0.384091,1.366746
270,Tyler Pounds Field,2,0,2,0,0,0,0
269,Gregg County,1,1,2,0,0,0,0
268,Abilene Regional,1,0,1,0,0,0,0
267,Shreveport Regional,4,3,7,5,0.338235,0.41087,0.833333
265,Columbus Metropolitan,1,0,1,0,0,0,0
266,Monroe Regional,2,5,7,4,0.390625,0.483333,18.607937
264,Yuma Mcas/Yuma Intl,1,0,1,0,0,0,0
263,San Diego Intl-Lindbergh Fld,32,4,36,3,0.516129,0.552083,77.494173
262,Dallas Love Field,6,7,13,4,0.5,0.605072,9.971429
261,Dallas/Fort Worth Intl,77,41,118,3,0.75641,0.844633,4752.8996
260,Charleston Afb/Intl,9,2,11,4,0.4,0.447917,1.721825
